page_id	source_id	order_key	printed_page	pdf_page	section	page_kind	pass1	pass2	source_oid
PG-TASAKI2020-0050	TASAKI2020	000050	35	50	§2.4	content	complete	complete	8fbac2e4a0dcfaf07d3054460a23f6b3e5db14d7
PG-TASAKI2020-0051	TASAKI2020	000051	36	51	§2.4	content	complete	complete	832dd0bbdbf370ab6c59ece611627249c5a1847e
PG-TASAKI2020-0052	TASAKI2020	000052	37	52	§2.5	content	complete	complete	c7dd5dbecd2395a2d087489934dcc154867bc0c8
PG-TASAKI2020-0053	TASAKI2020	000053	38	53	§2.5	content	complete	complete	dc45ad22d1f47257539362f450fae9e6f2a4bfb9
PG-TASAKI2020-0054	TASAKI2020	000054	39	54	§2.5	content	complete	complete	fcbcb419469957d5000ccdc24e27032823a257b0
PG-TASAKI2020-0055	TASAKI2020	000055	40	55	§2.5	content	complete	complete	745d01409bd3e4847f842be141284e6d8f7a23ec
PG-TASAKI2020-0056	TASAKI2020	000056	41	56	§2.5	content	complete	complete	d82b2300e1c8896150f47e4bb37829c018c53a4d
PG-TASAKI2020-0057	TASAKI2020	000057	42	57	§2.5	content	complete	complete	5560696796cdc3e138ae0200232f77748d9803a1
PG-TASAKI2020-0058	TASAKI2020	000058	43	58	§2.5	content	complete	complete	703997787ecb28a9bab7d7533489ff7d595b01f0
PG-TASAKI2020-0059	TASAKI2020	000059	44	59	§2.5	content	complete	complete	f5ccbe6df4b3febcde9ff745cc3600d348568ed9
PG-TASAKI2020-0060	TASAKI2020	000060	45	60	References	content	complete	complete	ae169cc0cf4802b4e2a2cad164a3b54cb953313b
PG-TASAKI2020-0061	TASAKI2020	000061	NONE	61	NONE	content	complete	complete	4cf30563c469edf2dff18a9a6d1ea9be23253ebe
PG-TASAKI2020-0062	TASAKI2020	000062	48	62	NONE	content	complete	complete	c5c6dc8082f9a91a80e461d2bd23255e27ba2612
PG-TASAKI2020-0063	TASAKI2020	000063	49	63	NONE	content	complete	complete	cdfb922247ee8ef12a3e5ee787dd4234edfe7779
PG-TASAKI2020-0064	TASAKI2020	000064	50	64	§3.1	content	complete	complete	5c0a09c3e54e21665dbb68666a04f83bb0856e38
PG-TASAKI2020-0065	TASAKI2020	000065	51	65	§3.1	content	complete	complete	6ba4b29e44f3fa0734eed9124ff1a0bba06941b5
