vocabulary_id	declaration	module	declaration_kind	origin	parent_vocabulary_id	type_oid	declaration_oid	design_role	finiteness_scope
VO-TASAKI2020-0001	LatticeSystem.partialTraceRight	LatticeSystem.Vocabulary.Quantum	definition	primary	NONE	319d663238992774fb2762daf0320ecfa42cb4e4	8c0613570dc708433b6a9291fbcd6e5171bb1a0b	linear_algebra	local_operation
VO-TASAKI2020-0002	LatticeSystem.partialTraceLeft	LatticeSystem.Vocabulary.Quantum	definition	primary	NONE	c4b29dc009f1041c56e49cb1cc742cd85f5686a6	a2a6ca5bf8f574cad1a108a62a48d4c674e65847	linear_algebra	local_operation
